 groupid |               group name                |     group owner      | group members 
---------+-----------------------------------------+----------------------+---------------
      35 | Bokononism                              | AMY WEBER            |            29
     227 | Obsession                               | BILLIE FISHER        |            29
      97 | Evolution                               | JUAN WEAVER          |            29
      77 | Divorce                                 | KEVIN CUMMINGS       |            29
       3 | Absurdity                               | MARK ALVAREZ         |            29
      59 | Consumerism                             | MITCHELL CHERRY      |            29
     253 | Pseudoscience                           | STEVEN MONTOYA       |            29
     164 | Irony                                   | TERRY SEXTON         |            29
     257 | Quotations                              | THERESA COOPER       |            29
     241 | Poetry                                  | EDWIN SUTTON         |            28
     116 | Future                                  | JANET RAYMOND        |            28
      14 | Alienation                              | JAY COOPER           |            28
      50 | Citizenship                             | SONYA WITT           |            28
      98 | Exercise                                | STEVE FRAZIER        |            28
     124 | Government                              | SUE GLENN            |            28
     332 | Vices                                   | THERESA MOON         |            28
     325 | Truth                                   | TIM PATEL            |            28
      86 | Enemies                                 | TONYA TORRES         |            28
     276 | Serialism                               | ANGEL DIAZ           |            27
     199 | Metaphysics                             | BRUCE STEVENS        |            27
     260 | Reality                                 | CLYDE GUTHRIE        |            27
      82 | Ecology                                 | CONSTANCE BARRERA    |            27
      25 | Automobiles                             | EMMA ALBERT          |            27
     251 | Propaganda                              | JIMMIE ALFORD        |            27
      68 | Death                                   | JOSHUA SHELTON       |            27
     243 | Pollution                               | JUSTIN HUNT          |            27
     136 | Hero                                    | STELLA POOLE         |            27
     333 | Violence                                | SUZANNE VILLARREAL   |            27
     120 | Ghosts                                  | TIM PATEL            |            27
     187 | Management                              | ANA CANTU            |            26
     218 | Natural Disasters                       | CHESTER QUINN        |            26
     338 | Waste                                   | CLAYTON PRATT        |            26
     156 | Innocence                               | DAVE FRY             |            26
     303 | Strategy                                | EDUARDO ROSALES      |            26
      16 | Anarchism                               | GLEN SMALL           |            26
     307 | Tea                                     | GORDON GRANT         |            26
     301 | Success                                 | JAN BRADSHAW         |            26
     285 | Skepticism                              | LYNDA AGUILAR        |            26
       9 | Advertising                             | LYNN LAWRENCE        |            26
     294 | Sound                                   | MAE WAGNER           |            26
     165 | Irrelevance                             | RAY ROWE             |            26
     119 | Gender                                  | REGINA BLAIR         |            26
      27 | Aviation                                | RONNIE JOYNER        |            26
      60 | Courage                                 | ROSA WALKER          |            26
      44 | Celebratory                             | VALERIE GLENN        |            26
     321 | Trees                                   | BERNARD MCCALL       |            25
     313 | Time                                    | CHARLIE LOPEZ        |            25
     182 | Locations                               | FELIX WALL           |            25
      41 | Canada                                  | HAROLD MORALES       |            25
     117 | Gambling                                | JEANNETTE BRAY       |            25
     281 | Sex                                     | MABEL BLACKWELL      |            25
      96 | Evil                                    | MARLENE COOPER       |            25
      21 | Apocalypse                              | TINA SHELTON         |            25
     259 | Rainbows                                | WAYNE STARK          |            25
      32 | Bible                                   | WILLIE HAYES         |            25
     210 | Performance                             | YOLANDA KNIGHT       |            25
     135 | Hell                                    | ANA CASH             |            24
     320 | Treason                                 | CELIA KENT           |            24
      62 | Crime                                   | DENNIS RANDOLPH      |            24
     131 | Happiness                               | EVELYN GRIMES        |            24
     326 | Universe                                | GREG BAIRD           |            24
      61 | Creation and evolution                  | LLOYD STRONG         |            24
     258 | Race                                    | RALPH BYRD           |            24
     133 | Health                                  | SAMUEL STEPHENS      |            24
     274 | Segregation                             | STACY LANDRY         |            24
      42 | Capitalism                              | TIM PATEL            |            24
     292 | Solitude                                | WESLEY WELLS         |            24
     275 | Self discipline                         | BESSIE LUNA          |            23
       2 | Abstinence                              | BRIAN VILLARREAL     |            23
     310 | Television                              | CHESTER CHRISTENSEN  |            23
     181 | Literature                              | CODY CASE            |            23
     346 | Writing                                 | CONNIE MCGOWAN       |            23
      93 | Essentialism                            | ELLA BURTON          |            23
     263 | Resistance                              | GARY BLACKBURN       |            23
      78 | Dogs                                    | GORDON GILLIAM       |            23
      70 | Dedication                              | JUAN WEAVER          |            23
     192 | Mass culture                            | KELLY BUTLER         |            23
      99 | Extinction                              | LEO SARGENT          |            23
     264 | Responsibility                          | MEGAN PACHECO        |            23
     118 | Gay, lesbian, bisexual, and transgender | PENNY WELCH          |            23
     114 | Freedom                                 | RALPH BYRD           |            23
     296 | Sports                                  | RON WATERS           |            23
     252 | Protection                              | RONALD ATKINSON      |            23
      29 | Belief                                  | ROY MAYER            |            23
     221 | New Zealand                             | SHELLEY NOBLE        |            23
      89 | Pollution                               | TINA HOFFMAN         |            23
     106 | Fear                                    | ARTHUR MALDONADO     |            22
     150 | Imagination                             | CELIA KENT           |            22
      26 | Autonomy                                | DARREN HARRIS        |            22
     121 | Girls                                   | DARRYL AGUIRRE       |            22
      76 | Discourse                               | JAN LEON             |            22
     141 | Honor                                   | KAYLA MORSE          |            22
     290 | Sociology                               | MARILYN LARSEN       |            22
     189 | Marriage                                | MARSHALL CANNON      |            22
      19 | Anthropology                            | CASSANDRA HODGES     |            21
      13 | Alien Life                              | HERMAN FLETCHER      |            21
     102 | Faith                                   | MARVIN PERRY         |            21
      23 | Art                                     | MEGAN PACHECO        |            21
      67 | Dance                                   | PETER SUAREZ         |            21
     335 | Video Games                             | ROLAND DOTSON        |            21
     172 | Language                                | RUSSELL STRICKLAND   |            21
     201 | Money                                   | ALEX SHEPARD         |            20
     299 | Summer                                  | CANDICE ROWLAND      |            20
      18 | Animals                                 | CASSANDRA OLSON      |            20
     169 | Journalism                              | CECIL DUKE           |            20
      15 | All About You                           | CLAUDE TRAVIS        |            20
     245 | Power                                   | DARRYL AGUIRRE       |            20
      22 | Arrogance                               | DENNIS GARZA         |            20
      74 | Despair                                 | GUY ONEIL            |            20
     306 | Talent                                  | HAZEL COOK           |            20
      71 | Democracy                               | JEANNETTE WORKMAN    |            20
     239 | Physics                                 | JOSEPHINE MEADOWS    |            20
     125 | Guilt                                   | JOYCE MCLEOD         |            20
     284 | Sisters                                 | LONNIE DICKERSON     |            20
     158 | Intelligence                            | LORETTA WATKINS      |            20
     288 | Social constructionism                  | STEVEN BURGESS       |            20
     266 | Rain                                    | ZACHARY FRANCO       |            20
      57 | Conservation                            | ANTHONY MCKINNEY     |            19
      85 | Elders                                  | BERNARD MCCALL       |            19
     212 | Scratching                              | BESSIE HAYS          |            19
     142 | Human nature                            | CHESTER FLYNN        |            19
     108 | Film                                    | DARYL SILVA          |            19
      80 | Drinking                                | ERIK DAVIS           |            19
     261 | Regret                                  | IRMA LAWSON          |            19
     270 | Sarcasm                                 | JULIAN ESTRADA       |            19
     229 | Parents                                 | KELLY BUTLER         |            19
     319 | Travel                                  | KENNETH BEARD        |            19
     104 | Fascism                                 | KYLE DEJESUS         |            19
     308 | Teams and team work                     | LLOYD STRONG         |            19
     122 | God                                     | MARCIA MENDEZ        |            19
     282 | Silence                                 | MARK ALVAREZ         |            19
     235 | Perfection                              | TIM PATEL            |            19
      75 | Disability                              | TINA SHELTON         |            19
      72 | Depression                              | WESLEY WELLS         |            19
     109 | Fire                                    | WESLEY WELLS         |            19
     163 | Iraq War                                | BRANDY VEGA          |            18
     123 | Golf                                    | CAROLYN CONWAY       |            18
     179 | Life                                    | CHAD SHEPHERD        |            18
      92 | Espionage                               | CHESTER CHRISTENSEN  |            18
     170 | Kindness                                | CHESTER FLYNN        |            18
     134 | Heaven                                  | DIANA VANCE          |            18
     349 | Zoology                                 | DIANA VANCE          |            18
      87 | Environment                             | ERNEST ARMSTRONG     |            18
       1 | Abortion                                | HUGH HORN            |            18
     255 | Public Speaking                         | LYDIA ABBOTT         |            18
     231 | Patience                                | MELINDA ORTIZ        |            18
     161 | Slashdot                                | MIGUEL MEJIA         |            18
     312 | Theory and practice                     | MOLLY COHEN          |            18
     302 | Stealing                                | PETER SUAREZ         |            18
     283 | Simplicity                              | ROGER CERVANTES      |            18
     337 | War                                     | RUSSELL STRICKLAND   |            18
     184 | Loneliness                              | SAMUEL PHELPS        |            18
     316 | Tonality                                | THOMAS ESTRADA       |            18
     314 | Tobacco                                 | ALFRED BLANKENSHIP   |            17
       4 | Accusation                              | ANGEL DIAZ           |            17
      91 | Epistemology                            | CONSTANCE BARRERA    |            17
     336 | Volunteering                            | DAVE CUNNINGHAM      |            17
     137 | History                                 | GORDON RUIZ          |            17
      31 | Bias                                    | JIMMY GOULD          |            17
      48 | Children                                | JOHN WARREN          |            17
     289 | Socialism                               | LARRY SULLIVAN       |            17
     328 | Upset                                   | MABEL BLACKWELL      |            17
     215 | Names                                   | NICOLE MACDONALD     |            17
     250 | Project Management                      | NINA LINDSAY         |            17
     162 | Intuition                               | RUSSELL CLEMONS      |            17
     342 | Wives                                   | VICTORIA MARSHALL    |            17
     249 | Profit                                  | VIOLA HALL           |            17
     339 | Wealth                                  | VIVIAN RODRIQUEZ     |            17
     343 | Women                                   | WALTER COOLEY        |            17
     329 | Vacation                                | YOLANDA HAYDEN       |            17
      36 | Books                                   | ANGEL DIAZ           |            16
     236 | Performance                             | ARTHUR MALDONADO     |            16
      40 | Bravery                                 | BOB WYATT            |            16
     230 | Passion                                 | DUSTIN JACOBSON      |            16
     197 | Memory                                  | EDWIN SUTTON         |            16
     267 | Relationships                           | JAMIE FUENTES        |            16
      43 | Cats                                    | JASON WHITNEY        |            16
     167 | Jealousy                                | JULIA TRAN           |            16
     140 | Humility                                | LINDSEY CARVER       |            16
     145 | Ideas                                   | LYNDA WINTERS        |            16
     200 | Monarchy                                | MARION EMERSON       |            16
     185 | Love                                    | MAURICE MORENO       |            16
     291 | Soil                                    | REGINA NEWTON        |            16
     327 | Unselfishness                           | SETH FAULKNER        |            16
