 id  |         name         | n posts | n comment 
-----+----------------------+---------+-----------
 124 | AGNES MIRANDA        |       6 |         9
 475 | ALAN BURNS           |       6 |        16
 248 | ALBERTO BOONE        |       2 |        13
  17 | ALBERTO MACK         |       5 |        20
 182 | ALBERTO SHEPARD      |       5 |        23
 103 | ALEX SHEPARD         |       2 |        15
 186 | ALEX VELAZQUEZ       |       3 |        14
  65 | ALEXANDER BAIRD      |       4 |        21
 175 | ALFRED BLANKENSHIP   |       3 |        19
  99 | ALFRED RIVERS        |       5 |        20
 159 | ALFRED SHANNON       |       7 |        14
 146 | ALFREDO DAVIDSON     |       6 |        14
  81 | ALFREDO PARK         |       5 |        16
 163 | ALFREDO RICHMOND     |       3 |        13
  43 | ALICE SANDOVAL       |       2 |        14
  69 | ALISON CHAMBERS      |       8 |        17
 154 | ALLAN WEST           |       9 |        16
 251 | ALLEN CARDENAS       |       5 |        20
 165 | AMY WEBER            |       7 |        16
 469 | ANA CANTU            |       4 |        17
  59 | ANA CASH             |       8 |        13
 371 | ANDRE FUENTES        |       4 |        19
 375 | ANDREW CONLEY        |       3 |        21
 151 | ANDY BUSH            |       6 |        24
 351 | ANDY ROSARIO         |       4 |        10
  24 | ANGEL DIAZ           |       2 |        21
  42 | ANNA NIELSEN         |       3 |        11
 147 | ANNETTE TYSON        |       4 |        20
 238 | ANNIE WILKINSON      |       3 |        19
 137 | ANTHONY GLENN        |       1 |         9
 148 | ANTHONY MCKINNEY     |       3 |        17
 347 | ANTHONY SOLIS        |       8 |        11
  76 | ARLENE JOSEPH        |       2 |        21
 190 | ARMANDO KING         |       2 |        13
  94 | ARTHUR ROSE          |       5 |        18
  86 | ASHLEY HOLMES        |       3 |        15
 479 | ASHLEY ROBERSON      |       2 |        16
  41 | BARRY SULLIVAN       |       5 |        17
  37 | BELINDA JOHNS        |       5 |        19
 307 | BERNARD MCCALL       |       2 |        13
 195 | BERNICE COTE         |       5 |        18
 417 | BESSIE HAYS          |       3 |        16
  39 | BESSIE LUNA          |       3 |        16
 130 | BETH AUSTIN          |       7 |        20
  34 | BETTY SYKES          |       3 |        19
 424 | BILLIE FISHER        |       2 |        18
 197 | BILLY TALLEY         |       9 |        17
  60 | BLANCHE WEBSTER      |       6 |        21
 249 | BOB WYATT            |       5 |        16
 285 | BOBBY JARVIS         |       4 |        16
 297 | BRANDON RODGERS      |       5 |        13
 308 | BRANDY VEGA          |       4 |        18
 259 | BRIAN BERG           |       4 |        16
 476 | BRIAN VILLARREAL     |       2 |        14
  20 | BRUCE ELLIOTT        |       5 |        16
 205 | BRUCE STEVENS        |       2 |        13
 396 | BYRON HARRIS         |       4 |        16
 309 | CALVIN CALLAHAN      |       3 |        18
 376 | CANDACE DOYLE        |       3 |        17
 482 | CANDICE ROWLAND      |       1 |        18
 391 | CARL SANTANA         |       3 |        12
 231 | CARLOS ROBLES        |       3 |        14
 320 | CAROLYN CONWAY       |       4 |        15
 434 | CAROLYN WILLIS       |       5 |        12
 245 | CASEY FARRELL        |       4 |        12
 203 | CASSANDRA HODGES     |       6 |        12
 441 | CASSANDRA OLSON      |       1 |        10
  54 | CATHY CAREY          |       5 |        18
 433 | CATHY WATERS         |       1 |        20
 383 | CECIL DUKE           |       4 |        14
 360 | CECIL HANSEN         |       6 |        16
 217 | CECIL JENNINGS       |       7 |        14
 413 | CECIL MCDOWELL       |       7 |        16
 493 | CELIA WALL           |       4 |        14
 481 | CHAD SHEPHERD        |       1 |        20
 168 | CHARLES LEBLANC      |       4 |        13
 223 | CHARLIE LOPEZ        |       4 |        19
 199 | CHARLIE PRICE        |       5 |        19
 409 | CHARLIE WHITE        |       8 |        17
 106 | CHARLOTTE OLIVER     |       4 |        18
 322 | CHESTER CHRISTENSEN  |       3 |        17
 162 | CHESTER FLYNN        |       5 |         9
 426 | CHESTER QUINN        |       4 |        21
 117 | CHRISTIAN BATTLE     |       5 |        11
  78 | CHRISTIAN REED       |       5 |        20
 324 | CHRISTY WARREN       |       5 |        18
 430 | CLARA THORNTON       |       4 |         8
 329 | CLAUDE TRAVIS        |       2 |        18
 228 | CLAUDIA CASTRO       |       2 |        17
 265 | CLAYTON PRATT        |       5 |        24
 229 | CLIFFORD SANDOVAL    |       5 |        17
 192 | CLYDE GUTHRIE        |       6 |        14
 312 | CODY CASE            |       4 |        13
 288 | COLLEEN ALVAREZ      |       3 |        14
  96 | CONNIE MCGOWAN       |       2 |        22
 104 | CONSTANCE BARRERA    |       4 |        14
 486 | CRAIG WILSON         |       5 |        14
  45 | CURTIS HOLMES        |       3 |        10
 263 | CURTIS MATTHEWS      |       3 |        20
 189 | CYNTHIA MCCULLOUGH   |       6 |        17
 452 | DAISY MEYER          |       4 |        20
  92 | DANIEL LARA          |       2 |        22
 461 | DANIEL MCCULLOUGH    |       6 |        18
  27 | DARREN HARRIS        |       4 |        19
 345 | DARREN HIGGINS       |       4 |        12
 429 | DARRYL AGUIRRE       |       4 |        15
 166 | DARRYL MURPHY        |       4 |        24
  47 | DARRYL ROCHA         |       2 |        20
 213 | DARYL SILVA          |       2 |        19
 158 | DAVE CUNNINGHAM      |       6 |        18
 451 | DAVE FRY             |       1 |        22
 105 | DEAN SOTO            |       2 |        20
 174 | DEANNA SANDOVAL      |       7 |        15
 425 | DEBORAH SIMON        |       2 |        15
   4 | DENNIS GARZA         |       4 |        17
 206 | DENNIS RANDOLPH      |       3 |        20
 157 | DIANA VANCE          |       9 |        16
 180 | DIANE KNOWLES        |       4 |        18
  30 | DON VAZQUEZ          |       1 |        21
 293 | DONNA HENSON         |       5 |        20
  44 | DONNA PRICE          |       4 |        12
 227 | DORA JONES           |       1 |        14
